NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Angra dos Reis/RJ,BRACU?,"0,48706","0,00487054","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"7,9284","0,079283401","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"2,39425","0,023942373","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"0,51177","0,005117709","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,ALTO DA SERRA (CAMERU),"115,30217","1,10613899","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"0,11768","0,001176743","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"272,11002","2,721066699","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"2,65027","0,026502513","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"2,42237","0,024223509","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"5,97007","0,059700336","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"7,69503","0,076949783","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,ALTO DA SERRA (FAMILIA LEITE),"212,12216","0,009579665","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"0,42867","0,004286686","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Angra dos Reis/RJ,BRACU?,"42,49752","0,424972159","0,74","0,46","0,42","0,42","0,35","0,42","0,79","0,66","0,54","0,58"
Araruama/RJ,PROD?GIO,"118,84293","1,188419664","0,63","0,67","0,69","0,48","0,35","0,36","0,48","0,66","0,53","0,41"
Arma??o dos B?zios/RJ,RASA,"8,04081","0,056395367","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"9,35312","0,093530393","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"0,51015","0,005101487","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"0,69252","0,006925148","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"29,16084","0,291606297","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"22,12592","0,220178981","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"37,46612","0,374658484","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"1,09645","0,010964438","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Arma??o dos B?zios/RJ,RASA,"1,11353","0,011135213","0,59","0,54","0,56","0,4","0,35","0,34","0,56","0,54","0,41","0,39"
Cabo Frio/RJ,BOTAFOGO (?REA 8),"5,00286","0,050028268","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,PRETO FORRO,"90,8273","0,908282248","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,RASA,"8,04081","0,078747837","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,RASA,"9,35312","0,000324501","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 2),"6,14542","0,061453716","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 7),"2,0755","0,020754812","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,RASA,"0,69252","0,000164856","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,RASA,"22,12592","0,050782092","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 05),"2,58256","0,025825412","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 9),"34,60252","0,346024599","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 3),"30,87329","0,308730329","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 1),"4,26363","0,04263601","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,RASA,"1,09645","0,010964438","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,CAVEIRA,"220,52624","0,830869961","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 06),"5,73464","0,057346032","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Cabo Frio/RJ,BOTAFOGO (?REA 4),"33,8571","0,338567936","0,62","0,47","0,56","0,42","0,35","0,39","0,52","0,65","0,57","0,54"
Itaperuna/RJ,CRUZEIRINHO,"63,12688","0,081031474","0,65","0,43","0,29","0,43","0,35","0,41","0,31","0,48","0,79","0,76"
Mangaratiba/RJ,MARAMBAIA,"42,22522","0,420744137","0,63","0,45","0,27","0,38","0,35","0,39","0,76","0,65","0,55","0,5"
Natividade/RJ,CRUZEIRINHO,"63,12688","0,550232853","0,61","0,51","0,14","0,36","0,35","0,38","0,45","0,43","0,67","0,79"
Paraty/RJ,CABRAL,"513,2539","5,132494899","0,55","0,42","0,3","0,25","0,35","0,39","0,77",0,"0,55","0,44"
Paraty/RJ,CAMPINHO DA INDEPENDENCIA,"298,11289","2,981105858","0,55","0,42","0,3","0,25","0,35","0,39","0,77",0,"0,55","0,44"
Paraty/RJ,CAMBURY,"629,04565","0,034117972","0,55","0,42","0,3","0,25","0,35","0,39","0,77",0,"0,55","0,44"
Paraty/RJ,CAMBURY,"343,96186","0,003637584","0,55","0,42","0,3","0,25","0,35","0,39","0,77",0,"0,55","0,44"
Quatis/RJ,SANTANA,"723,34871","7,233376409","0,41","0,11","0,16","0,35","0,35","0,42","0,85","0,63","0,56","0,61"
Rio Claro/RJ,ALTO DA SERRA (CAMERU),"115,30217","0,372234499","0,32","0,44","0,23","0,31","0,35","0,38","0,44","0,31","0,56","0,46"
Rio Claro/RJ,ALTO DA SERRA (FAMILIA LEITE),"212,12216","1,815025139","0,32","0,44","0,23","0,31","0,35","0,38","0,44","0,31","0,56","0,46"
Rio de Janeiro/RJ,PEDRA DO SAL (TIA AURORA),"0,01761","0,000176107","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
Rio de Janeiro/RJ,PEDRA DO SAL (JOAO DA BAIANA),"0,00843","0,000084341","0,72","0,51","0,16","0,38","0,35","0,38","0,72","0,63","0,67","0,62"
